GTIN	 QEMB 
7891032016601	 12 
7892018023002	 25 
7891035023514	 12 
7501001169374	 18 
7500435127226	 18 
7500435127264	 18 
7500435127240	 18 
7590002012383	 18 
7891010010546	 10 
7891010010515	 10 
7896007540662	 60 
7896007540631	 60 
7896007540617	 60 
7898264981615	 24 
7899802200014	 24 
7456979717181	 4 
7896519298310	 6 
7896594971214	 6 
7896594972310	 9 
7897275156760	 4 
7898994901006	 6 
7898994901020	 6 
7898994901013	 6 
7456979717020	 6 
7896007932931	 10 
7896196082189	 24 
7896196080307	 12 
7896090700424	 24 
7892141955904	 24 
7896090700455	 12 
7896060039400	 12 
7898080640833	 24 
7898080640673	 24 
7896001215108	 12 
7896354100823	 27 
7891000053508	 24 
7891000253083	 12 
7891000051474	 24 
7894321711058	 24 
7894321711171	 24 
7894321711263	 24 
7894321711478	 12 
7894321722016	 27 
7891000338087	 12 
7891025114666	 6 
7891025114659	 6 
7891025114673	 6 
7896508200034	 10 
7896894900068	 10 
7898596080192	 6 
7898596080376	 15 
7898206500027	 12 
7891910020065	 10 
7896109800015	 10 
7896283004773	 10 
7896283000010	 10 
7896283001031	 10 
7891095600854	 12 
7898206502489	 12 
7891910030293	 12 
7898206500010	 12 
7898206500768	 18 
7891910007110	 20 
7891959014612	 10 
7891910020027	 8 
7891910007004	 20 
7891910020096	 20 
7891910020034	 10 
7891910020041	 12 
7891910000197	 10 
7891910020119	 20 
7894900087000	 6 
7894000047522	 6 
7891700202916	 12 
7894900087048	 6 
7894900087062	 6 
7894900087123	 6 
7894900084504	 6 
7891150001947	 6 
7894000181011	 6 
7891700203135	 12 
7894000182018	 6 
7891700203142	 12 
7891150001961	 6 
7894900086003	 6 
7894900087109	 6 
7894000047515	 6 
7894900083002	 6 
7894900083507	 6 
7891150001923	 6 
7894900086027	 6 
7894000001159	 6 
7896094917439	 12 
7891104393104	 12 
7898928577628	 24 
7898928577680	 12 
7896001250628	 12 
7896001250710	 24 
7891910030057	 12 
7896283002748	 12 
7896589402501	 12 
7896589402518	 12 
7896060039424	 12 
7896060039417	 12 
7896060035822	 12 
7891910030149	 10 
7891910030316	 12 
7898268910123	 8 
7896094910904	 12 
7896094911000	 12 
7896094910003	 12 
7896094919624	 12 
7898936866011	 5 
7891025117643	 6 
7891025110941	 12 
7891025107835	 12 
7891025102120	 8 
7891025102113	 24 
7891025700104	 6 
7891025110750	 12 
7891025104780	 9 
7891025700746	 12 
7894900530056	 2 
7894900531015	 6 
7894900531008	 12 
7894900530032	 6 
7894900530001	 12 
7894900521009	 6 
7896828000239	 12 
7896828000017	 27 
7894321235226	 27 
7894900614008	 12 
7896000593672	 12 
7894900521504	 6 
7894900520507	 6 
7896596100308	 12 
7896596100223	 12 
7896596100056	 2 
7896596100209	 12 
7896089500424	 6 
7896089500509	 2 
7891991013789	 12 
7896062801050	 12 
3179730010850	 4 
7897123884142	 6 
7897123884029	 6 
7897123884036	 12 
7897123883220	 4 
7897123883022	 6 
7897123883077	 12 
7897123883053	 2 
7898462400017	 12 
7898462400703	 6 
7898462401120	 12 
7896083800032	 12 
7896083800155	 6 
7896062801067	 6 
7891991000840	 12 
7891991015981	 15 
7891991000888	 12 
7894900300017	 6 
7894900360394	 6 
7891024127605	 12 
7891024127704	 12 
7891024127629	 6 
7891024128312	 6 
7891024128305	 12 
7891024120705	 12 
7891024120903	 12 
7891024120804	 12 
7891132011018	 18 
7891132012015	 18 
7891132081011	 24 
7891132080038	 24 
7891132082018	 36 
7897765600773	 24 
7891031124055	 24 
7896196020013	 24 
7891089436872	 24 
7896102504279	 24 
7896183001452	 12 
7896272002018	 24 
7898645221507	 12 
7899449498331	 12 
7896090704460	 12 
7896090703609	 12 
7896090703616	 12 
7896090704545	 12 
7896044963509	 12 
7896044956419	 6 
7896007939039	 12 
7897534819207	 6 
7897534812673	 12 
7897534858275	 12 
7899449498034	 12 
7898288820143	 24 
7896044956525	 6 
7896044963486	 12 
7897534809468	 12 
7892141955744	 12 
7896090704644	 12 
7898264982087	 24 
7898903018092	 18 
7898903018337	 18 
7898903018511	 20 
7898903018573	 20 
7898270963063	 5 
6915917000132	 5 
6915917000460	 5 
74601008406	 5 
6921100112018	 6 
7896224410717	 20 
7897275151789	 12 
7897275151765	 12 
7897275151772	 12 
7898961667027	 24 
7898961667041	 12 
7898264983305	 24 
7898961667072	 24 
7898264981646	 24 
7898961667003	 24 
7898961667010	 24 
7898961667034	 12 
7891000049020	 6 
7891000049112	 6 
7891000049280	 6 
7891000049068	 6 
7891000049105	 6 
7891000049051	 6 
7891000095287	 6 
7891000049273	 6 
7891000049099	 6 
7891000049259	 6 
7891000049242	 6 
7891000049174	 6 
7899767024298	 12 
606529711481	 12 
7898462402479	 24 
78907287	 12 
7898462409058	 12 
7891035040269	 12 
7891150070974	 6 
7891150000971	 12 
7891150064874	 12 
7891150054585	 12 
7891150028944	 12 
7891150054561	 12 
7891000502303	 30 
7899449499529	 12 
7506339396140	 6 
7506339396126	 12 
7506339332650	 6 
7506195143834	 12 
7506339389883	 6 
7506195143858	 12 
7506339332674	 6 
7506339321838	 12 
7500435141024	 6 
7500435160032	 12 
7500435141000	 12 
7891150071087	 6 
7896040704120	 12 
7896040704113	 12 
7896098902400	 6 
7898462400710	 6 
7898462402677	 6 
7899449499888	 6 
7898462400734	 6 
7898462406194	 6 
7896283002892	 10 
7898904852619	 12 
7891032016809	 12 
7891032016908	 24 
7898909755533	 12 
7898964764235	 30 
7898964764099	 30 
7898964764242	 30 
7898964764075	 30 
7896336003739	 24 
7898964764259	 30 
7898964764112	 30 
7898964764211	 30 
7898964764051	 30 
7896336003708	 24 
7898964764037	 30 
7896336003715	 24 
7898964764204	 30 
7898964764228	 30 
7898964764013	 30 
7898195790621	 30 
7891095011605	 12 
7898964764266	 30 
7898964764136	 30 
7892840814724	 16 
7896336010010	 30 
7896336000295	 24 
7896278600034	 10 
7892840814748	 24 
7898964764273	 30 
7898964764181	 30 
7891048042298	 18 
7897517203603	 12 
7894000010014	 50 
7896519222414	 10 
7892012003000	 25 
7896236100521	 24 
7898921567305	 6 
7791293991276	 12 
7506306241169	 12 
7791293033266	 12 
7506306241183	 12 
7791293022567	 12 
7702018037803	 12 
7702018874781	 12 
7891136057012	 12 
4067700015044	 6 
7897744501602	 12 
7897744501626	 12 
7897744501596	 12 
2017081000001	 7 
78905115	 12 
7891048043035	 24 
7897744500186	 12 
7897744500070	 12 
7897744500520	 12 
7897744500544	 12 
7897744500049	 12 
7896901200846	 12 
7896901200839	 24 
7896901200860	 12 
7896901200853	 24 
7896901200877	 12 
7896901200921	 12 
8005121218107	 10 
7896196080260	 10 
7898964064335	 10 
7896901200914	 24 
7896901200235	 30 
7896901200150	 15 
7896901200143	 6 
7896901200457	 30 
7896901200822	 10 
7896901200280	 30 
7896006779841	 12 
7896006702696	 12 
7896006702733	 10 
7896006755517	 10 
7896006798750	 10 
7896006716112	 30 
7896006755616	 10 
7896006711124	 15 
7896006711117	 30 
7896006711155	 6 
7898964064342	 10 
7896196083179	 10 
7896901200099	 15 
7896901200082	 6 
768421222257	 30 
7891095600267	 12 
7898270911972	 10 
7898270911965	 10 
7896006701118	 30 
7896196059211	 10 
7896196060361	 10 
7897303500053	 15 
7896901200815	 10 
7896196061337	 10 
7898014490718	 6 
7896003941609	 12 
7896003914863	 24 
7896003951202	 24 
7896003989403	 12 
7896029003039	 30 
7896901200013	 6 
7896901200891	 24 
7891031121054	 12 
7896196060576	 12 
7896196059129	 12 
7896196061030	 12 
7896236100163	 12 
7898921466370	 30 
7898930672625	 25 
7898930672618	 20 
7896009301094	 24 
7894321823508	 24 
7896009301100	 24 
7896009301124	 24 
7896009301131	 24 
7896009301148	 24 
7896009301155	 24 
7891167011717	 24 
7898568900718	 12 
7898568900701	 12 
7898568900695	 12 
7896283000058	 20 
7894321219721	 28 
7898568900855	 12 
7896283000065	 20 
7891095026326	 12 
7891000102640	 28 
7891000102626	 28 
7894321219820	 24 
7894321208121	 24 
7898568900688	 12 
7892840815769	 28 
7892840815264	 24 
7892840815752	 28 
7892840815271	 24 
7898962676110	 24 
5601216054969	 18 
5601216120152	 12 
5601216120114	 12 
8410179200828	 12 
8410179100036	 12 
8410010813729	 12 
7790070218216	 12 
7896025800106	 24 
7891031404201	 24 
5601252106288	 20 
7898073358684	 12 
5601252117192	 20 
5601252231164	 20 
5601252106103	 20 
7898952857024	 6 
5601989003157	 12 
5601989003126	 12 
5601989003140	 12 
5601989986368	 12 
5601989997760	 12 
7898206500362	 12 
7898919754014	 12 
7897517208226	 24 
7897517208202	 24 
7896196082448	 12 
7896196058986	 12 
7896196058979	 12 
7896196081908	 12 
7896196082431	 12 
7896196081915	 12 
7891089100322	 24 
7891089100506	 24 
7891089100025	 24 
7891089100162	 24 
7891089100575	 20 
7897765601633	 24 
7897517208271	 24 
7891089450687	 24 
7896183001865	 24 
7896183001049	 24 
7896183001438	 24 
7896183001018	 24 
7896183001025	 24 
7896183001186	 12 
7896183001896	 24 
7896183001209	 24 
7896183001872	 24 
7896183001063	 24 
7896183001261	 12 
7896183001889	 24 
7896183001193	 24 
7897517208219	 24 
7897765600315	 24 
2000834000007	 14 
7897765601350	 24 
7891089450670	 24 
2000876000003	 14 
7891089450694	 24 
7897765601558	 24 
5601252112319	 24 
7897517208233	 24 
7891125000067	 12 
7891125064038	 12 
7891125064076	 12 
7891151031332	 6 
7891118015320	 12 
7896175320011	 5 
7898911246999	 25 
7896451915290	 12 
7896451915283	 12 
7896451915276	 12 
7896262301022	 16 
7895144228532	 16 
7895144028019	 16 
7898629571031	 12 
7898629570461	 12 
7898629570485	 12 
7898629570522	 12 
7898629570072	 12 
7898629570140	 12 
7898629570164	 12 
7898629570577	 12 
7898629570584	 12 
7898629570263	 12 
7898629570911	 12 
7898629570904	 12 
7898629570560	 12 
7898629570973	 12 
7898629570553	 12 
8426617002510	 12 
7891118014750	 12 
7896423481037	 24 
7897303505065	 6 
7898904642647	 30 
7898904642616	 30 
7898904642333	 30 
7898904642609	 30 
7898904642067	 30 
7898904642623	 30 
7898904642418	 30 
606529978129	 20 
7897594100192	 25 
7897594100277	 25 
7897594100031	 40 
7897594100086	 25 
7891010504755	 10 
7891164007010	 24 
7702018001071	 12 
7702018874729	 12 
7501009225034	 12 
7891051026773	 12 
7702018118823	 12 
7896292330030	 12 
7893595199371	 48 
7893595199388	 48 
7893595199364	 42 
7899621108881	 12 
7899621108911	 12 
7899621108904	 12 
7899621108935	 12 
7899621108867	 12 
7899621108874	 12 
7898176580876	 12 
7896261402799	 12 
7896261402638	 24 
7898919902651	 24 
7898919902736	 24 
7896004004310	 24 
7896004004303	 12 
7891772150900	 24 
7891331010508	 24 
7891331014452	 24 
7891331010560	 24 
7896004004228	 12 
7897900317122	 24 
7891331001124	 24 
7891331014513	 24 
7896261403499	 12 
7896261403475	 12 
7896261403482	 12 
7896261403543	 12 
7896261402812	 24 
7896261402829	 24 
7896261402805	 12 
7896261402607	 12 
7896261402621	 24 
